"nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","feethngr","facntr","mocntr","ccrdprs","wrclmch","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","alcwkdy","alcwknd","alcbnge","height","weighta","medtrun","stflife","gndr","agea","rshpsts","ipstrgva","vacc19"
120,5,480,3,2,4,1,4,3,3,4,5,3,5,5,5,5,5,"Not eligible to vote",10,4,4,4,"Yes",3,3,1,4,4,"Yes",10,2,2,"Yes","Yes","Yes",NA,"Yes","Yes","No",5,4,8,4,6,4,2,1,NA,NA,0,167,78,"No",9,"Female",19,"Living with my partner - not legally recognised",3,"Yes"
60,5,30,6,5,5,2,2,2,2,1,6,6,8,6,5,6,6,"Yes",7,7,5,4,"No",3,3,2,8,7,"No",6,2,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",3,3,7,5,5,1,3,4,13.2,13.2,1,160,58,"No",7,"Female",72,NA,4,"Yes"
0,5,360,6,7,2,1,3,3,1,3,1,6,7,0,1,1,2,"No",9,3,2,1,"No",3,4,1,7,8,"Yes",5,2,5,"No","No","No",2015,"Yes","No","No",8,4,7,5,5,1,1,4,0,13.2,3,170,58,"No",7,"Female",33,"Legally married",5,"Yes"
15,5,180,5,6,3,1,1,1,1,1,0,4,5,3,0,0,0,"No",6,3,2,2,"No",2,4,1,4,2,"No",4,2,7,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,5,5,5,1,2,2,0,13.2,1,168,67,"No",5,"Female",45,NA,5,"Yes"
597,1,NA,1,2,5,2,1,1,2,1,5,5,3,3,3,3,3,"Yes",9,7,0,2,"No",1,2,1,5,5,"No",0,1,1,"Yes","Yes","Yes",NA,"Yes","Yes","Yes",6,3,8,5,5,7,6,6,26.4,26.4,4,161,45,"No",10,"Female",64,"Legally married",6,"Yes"
1116,5,90,5,7,5,2,1,5,1,5,0,0,7,0,0,0,0,"Yes",8,2,2,2,"No",4,4,1,9,5,"Yes",8,1,4,"No","Yes","Yes",NA,"Yes","Yes","Yes",0,2,8,4,4,7,3,7,19.6,725.4,4,191,98,"No",8,"Male",34,NA,6,"No"
15,5,360,6,5,4,3,1,2,1,3,1,3,7,0,4,2,6,"Yes",8,6,4,4,"No",3,4,1,2,0,"No",1,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",2,2,7,1,3,0,2,2,19.8,107.2,2,173,92,"Yes",9,"Male",29,"Legally married",2,"Yes"
60,4,30,8,8,8,3,2,1,1,1,2,8,9,2,4,3,3,"Yes",8,1,1,1,"No",4,3,2,8,8,"Yes",7,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",4,3,5,5,5,0,1,1,NA,NA,0,172,71,"No",8,"Male",87,NA,3,"Yes"
180,1,NA,5,3,3,2,1,1,1,1,3,5,6,2,2,2,3,"Yes",8,4,4,2,"No",4,4,2,8,5,"Yes",5,2,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",8,3,5,1,5,7,1,7,39.4,89,3,168,79,"No",8,"Male",70,"Legally married",5,"Yes"
60,5,600,8,8,7,3,3,2,3,2,8,8,8,6,7,7,8,"Yes",5,4,2,2,"No",4,5,2,6,6,"No",0,1,1,"Yes","Yes","Yes",NA,"Yes","Yes","Yes",7,4,6,6,5,5,3,5,26.4,26.4,2,163,55,"No",5,"Female",31,NA,NA,"Yes"
0,4,270,4,6,7,2,3,1,4,3,10,7,8,7,6,9,10,"No",8,6,6,3,"No",3,5,1,7,8,"No",3,2,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,2,7,3,5,4,1,5,39.2,20,4,170,55,"No",8,"Male",18,NA,2,"Yes"
120,5,120,5,7,5,3,3,2,3,3,6,8,8,6,7,7,4,"Yes",9,5,3,3,"No",2,5,1,10,8,"Yes",7,2,6,"No","Yes","Yes",NA,"Yes","Yes","No",9,4,7,5,5,1,3,6,237.5,78.6,1,169,92,"No",8,"Male",75,"Living with my partner - legally recognised",6,"Yes"
60,4,240,7,7,6,3,3,2,3,2,7,8,8,7,7,7,NA,"Yes",8,6,5,3,"No",4,5,1,4,4,"No",2,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",8,4,8,5,5,0,1,1,NA,NA,0,173,70,"No",9,"Female",32,"Legally married",5,"Yes"
90,5,42,3,3,2,3,2,1,2,2,2,0,8,2,2,2,2,"Yes",7,6,2,4,"No",3,3,2,5,5,"No",2,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",4,3,5,3,6,4,6,4,0,13.2,1,157,79,"No",7,"Female",66,"Legally married",5,"No"
30,5,180,6,6,4,1,1,1,1,1,3,4,6,5,3,4,5,"Yes",8,6,3,2,"Yes",2,3,2,0,0,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,7,1,5,0,5,1,NA,NA,0,164,85,"No",8,"Female",45,"Living with my partner - not legally recognised",3,"No"
60,4,300,7,5,3,3,3,4,4,2,7,NA,8,7,7,8,7,"Yes",8,6,3,3,"Yes",3,5,1,8,7,"Yes",7,3,2,"No","Yes","Yes",NA,"No","No","No",9,5,8,5,4,0,2,1,NA,NA,0,165,74,"Yes",8,"Male",26,NA,5,"Yes"
30,5,480,5,7,4,3,3,1,2,1,3,3,5,3,3,3,3,"Not eligible to vote",8,6,2,2,"No",3,4,1,1,1,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",3,2,8,3,5,0,5,3,0,150,3,180,90,"No",8,"Male",23,NA,4,"Yes"
60,5,300,4,7,5,2,2,3,2,3,6,5,7,5,4,6,6,"Yes",10,4,2,2,"No",4,5,1,8,5,"Yes",5,1,2,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,2,9,5,5,0,1,7,192.8,49.4,4,173,58,"No",9,"Female",38,"Legally married",5,"Yes"
0,5,300,5,5,5,1,2,1,1,2,3,5,8,1,1,7,8,"No",5,2,4,1,"No",3,5,1,3,5,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",8,3,8,7,7,0,1,2,20,13.2,1,170,71,"Yes",5,"Female",33,NA,5,"Yes"
495,3,NA,5,7,5,2,2,1,1,1,0,5,5,0,5,0,0,"Yes",7,5,2,5,"No",3,3,2,7,5,"No",5,3,2,"Yes","Yes","Yes",NA,"Yes","Yes","Yes",7,4,7,3,5,7,1,4,81.6,16.6,1,173,106,"Yes",6,"Male",54,NA,5,"Yes"
30,4,15,0,0,0,1,1,2,2,2,0,8,8,5,5,5,5,"Not eligible to vote",8,7,0,2,"No",4,3,3,10,10,"Yes",8,2,7,"No","No","Yes",NA,"Yes","No","No",5,3,4,3,3,2,5,2,0,72,1,178,86,"No",5,"Female",45,NA,5,"Yes"
30,5,180,8,5,5,3,3,1,1,1,5,7,7,5,4,5,7,"Yes",8,4,4,3,"No",3,3,1,5,5,"No",1,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",1,3,7,6,5,2,3,7,20,10,4,168,71,"No",8,"Male",79,"Legally married",4,"Yes"
60,5,25,8,8,5,3,3,2,3,2,6,7,8,5,6,6,7,"Yes",9,4,4,4,"Yes",3,4,1,9,8,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",10,5,9,5,5,5,1,5,26.4,42.2,3,163,62,"No",9,"Female",78,"Legally married",3,"Yes"
30,2,NA,3,8,8,1,1,3,1,1,0,2,5,0,0,1,0,"Yes",10,6,3,1,"No",2,3,1,7,3,"No",1,1,2,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,3,8,2,5,0,1,4,20,52.8,3,170,75,"No",9,"Female",79,"Legally married",3,"Yes"
30,5,180,8,5,8,1,3,1,2,1,8,8,10,8,NA,5,7,"No",10,7,1,4,"No",3,4,1,8,4,"Yes",10,7,2,"No","Yes","No",2015,"No","No","No",3,3,6,2,5,3,6,1,NA,NA,0,150,65,"No",9,"Female",31,NA,6,"Yes"
30,5,150,5,5,7,1,1,1,2,3,3,3,7,3,0,0,0,"Yes",8,5,4,2,"No",3,2,3,5,2,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",0,3,3,5,5,7,2,1,NA,NA,0,186,126,"No",4,"Male",65,"Legally married",5,"Yes"
120,4,120,5,8,4,3,1,3,1,3,5,3,8,4,5,6,6,"No",8,3,3,1,"No",1,4,1,7,7,"No",6,1,1,"No","Yes","Yes",NA,"Yes","No","Yes",6,3,7,5,6,4,1,2,12.3,26.4,2,176,90,"No",10,"Female",21,NA,5,"Yes"
38,5,180,8,8,7,4,3,4,3,4,6,9,8,6,6,7,7,"Yes",7,6,4,3,"No",4,1,2,5,7,"Yes",8,1,7,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,5,6,5,5,2,1,5,72,19.6,1,173,58,"No",7,"Female",45,"Legally married",2,"Yes"
5,3,NA,6,6,6,2,3,2,2,1,5,6,7,5,4,4,6,"Yes",7,4,4,2,"No",3,4,1,6,5,"No",3,1,1,"Yes","Yes","Yes",NA,"Yes","Yes","Yes",7,3,5,6,5,7,1,3,9.8,0,1,176,60,"Yes",7,"Female",53,NA,5,"Yes"
30,5,300,6,6,5,2,2,1,2,2,4,6,8,3,4,7,9,"Not eligible to vote",8,6,4,5,"No",2,4,1,6,6,"No",2,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,3,7,5,5,5,1,4,97.5,49.8,3,172,79,"Yes",8,"Female",22,NA,4,"Yes"
0,2,NA,7,7,7,2,1,3,2,3,0,3,6,2,2,2,5,"Yes",8,6,4,3,"No",3,4,1,6,6,"No",5,3,6,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,4,9,6,6,7,1,1,NA,NA,0,170,79,"Yes",8,"Female",65,"Legally married",4,"Yes"
30,5,540,7,8,5,3,2,3,2,3,6,2,7,6,6,5,7,"Yes",9,6,2,4,"No",3,4,1,8,5,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,3,8,4,3,4,3,6,6.6,20,1,173,78,"No",9,"Male",50,"Legally married",4,"Yes"
360,5,420,6,9,5,4,4,5,2,2,10,10,8,7,8,9,8,"Not eligible to vote",10,2,4,5,"Yes",2,4,1,8,8,"No",2,1,1,"No","No","No",2019,"No","No","No",10,4,5,5,5,3,2,5,0,10,1,163,73,"Yes",6,"Female",47,"Legally married",NA,"Yes"
30,1,NA,2,4,4,1,1,1,1,1,8,5,8,8,6,8,7,"Yes",6,2,2,1,"No",3,3,2,9,6,"Yes",9,4,6,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,3,5,5,0,1,2,0,105,1,158,53,"No",7,"Female",76,NA,5,"Yes"
60,5,90,7,7,8,3,3,3,4,1,7,8,9,7,7,7,7,"Yes",10,4,4,1,"No",3,5,1,8,8,"No",5,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",8,4,9,4,5,2,1,1,NA,NA,0,189,99,"No",10,"Male",51,"Legally married",6,"Yes"
15,2,NA,10,8,8,2,3,1,1,1,6,6,8,8,7,NA,NA,"Yes",7,3,2,3,"No",2,3,2,3,4,"Yes",8,4,4,"No","Yes","No",1989,"No","No","No",3,3,8,3,3,0,3,6,19.6,19.6,1,175,85,"No",8,"Male",48,"Legally married",5,"Yes"
60,5,90,0,5,5,1,2,3,2,1,5,5,5,5,5,2,2,"Yes",5,5,3,2,"Yes",4,3,1,8,6,"Yes",8,1,1,"No","Yes","Yes",NA,"Yes","No","No",8,4,5,5,5,0,3,7,30,60,2,187,78,"No",4,"Male",47,"Living with my partner - not legally recognised",4,"Yes"
30,2,NA,5,5,7,3,3,1,2,2,6,7,8,6,4,4,8,"Yes",7,6,5,4,"No",4,4,1,10,10,"Yes",10,5,7,"No","Yes","Yes",NA,"Yes","Yes","Yes",9,4,6,6,6,0,2,5,0,0,4,162,65,"No",6,"Female",82,NA,4,"Yes"
480,1,NA,6,5,2,1,1,1,1,1,3,NA,5,2,2,4,4,"Yes",6,1,2,1,"No",3,4,2,2,2,"Yes",3,1,2,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,4,6,5,4,5,1,1,NA,NA,0,161,76,"No",6,"Female",62,"Legally married",2,"Yes"
30,5,600,2,9,3,2,3,1,3,2,4,7,8,7,6,7,8,"Yes",9,5,2,4,"No",3,5,1,9,9,"No",4,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",9,4,9,5,6,2,1,3,0,19.8,1,160,57,"No",9,"Female",52,"Living with my partner - legally recognised",5,"No"
300,5,120,9,7,7,4,1,2,1,1,7,8,9,4,5,0,6,NA,8,2,2,1,"No",3,2,3,9,6,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,4,8,7,5,7,1,7,23.2,23.2,1,172,79,"No",7,"Male",75,"Legally married",NA,"Yes"
0,1,NA,5,5,0,2,2,1,1,1,2,2,2,0,0,0,0,"No",10,1,1,1,"No",3,4,1,5,5,"Yes",6,1,1,"No","No","No",2021,"Yes","No","No",6,3,6,4,4,2,1,1,NA,NA,0,173,78,"No",5,"Male",34,"Legally married",3,"Yes"
75,5,120,2,2,3,4,3,4,2,4,6,2,7,5,6,4,5,"Yes",10,6,3,2,"No",3,4,1,10,6,"Yes",10,2,7,"Yes","Yes","No",2005,"No","No","Yes",9,4,7,6,5,7,1,5,13.2,10,2,167,68,"Yes",6,"Female",48,"Legally married",6,"Yes"
180,5,180,8,8,5,4,1,5,1,4,2,4,5,1,1,0,0,"Yes",4,4,3,4,"No",4,5,2,7,0,"Yes",7,1,1,"No","Yes","No",1960,"Yes","No","Yes",3,2,8,5,5,7,3,5,79.2,121.4,2,186,85,"No",7,"Male",81,"Legally married",3,"Yes"
210,5,120,7,8,8,4,2,3,2,3,7,5,8,5,4,2,8,"Yes",9,5,3,2,"No",3,5,1,8,7,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",8,4,7,5,5,5,1,7,26.4,66,2,176,83,"No",9,"Male",69,"Legally married",5,"Yes"
60,5,240,7,6,7,3,3,NA,4,2,4,3,5,3,2,7,6,"Not eligible to vote",7,6,4,4,"No",3,4,1,4,7,"Yes",6,3,1,"No","No","No",2003,"Yes","No","No",6,2,6,5,5,2,4,5,13.2,13.2,3,170,77,"No",7,"Male",57,NA,5,"Yes"
90,5,240,8,7,6,3,3,3,3,1,7,7,8,6,6,7,7,"Yes",7,6,5,2,"No",3,4,1,8,6,"Yes",4,3,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,3,8,3,5,7,1,6,13.2,70,3,170,77,"No",7,"Male",51,NA,4,"Yes"
30,5,600,8,4,6,2,2,1,3,1,4,6,7,4,6,5,5,"Yes",7,3,1,2,"No",2,4,1,4,6,"No",2,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",4,3,7,5,5,2,1,3,0,13.2,2,165,53,"No",7,"Female",25,"Living with my partner - legally recognised",4,"Yes"
60,5,180,8,8,NA,3,3,NA,3,3,8,7,7,6,6,7,7,"Yes",8,6,4,4,"No",3,5,2,8,8,"Yes",7,4,7,"No","Yes","Yes",NA,NA,"No","No",8,4,8,7,6,4,3,6,0,20,4,170,56,"No",8,"Female",66,"Legally married",3,"Yes"
30,2,NA,7,5,2,4,1,1,2,3,5,2,5,3,1,NA,3,"Yes",7,5,1,5,"No",2,5,1,0,0,"Yes",9,5,7,"No","Yes","Yes",NA,"No","Yes","Yes",9,4,3,5,3,0,1,2,13.2,9.6,1,165,72,"No",8,"Female",74,"Legally married",5,"Yes"
60,1,NA,3,5,5,3,1,1,2,1,3,3,4,0,2,2,NA,"Yes",6,4,1,1,"No",2,3,3,4,5,"Yes",4,1,7,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,4,8,6,5,1,1,2,13.2,13.2,1,157,57,"No",4,"Female",85,NA,5,"Yes"
629,5,90,5,5,6,3,2,2,2,1,3,3,5,3,3,3,3,"Yes",8,6,3,3,"No",2,4,2,2,2,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,3,6,5,5,7,5,4,26.4,26.4,1,159,55,"No",8,"Female",41,"Living with my partner - legally recognised",6,"Yes"
30,5,60,6,6,2,2,3,2,2,2,2,2,2,2,2,1,4,"Yes",9,5,3,3,"Yes",2,4,2,7,3,"Yes",6,3,2,"No","Yes","Yes",NA,"Yes","No","No",8,5,8,6,6,2,1,6,0,32.4,4,158,59,"No",8,"Female",57,"Living with my partner - not legally recognised",5,"Yes"
15,2,NA,7,2,7,1,3,1,2,1,3,3,3,3,3,3,3,"Yes",9,6,3,4,"Yes",3,3,2,6,6,"No",3,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,2,6,6,5,7,1,7,52.8,105.8,4,185,93,"No",10,"Male",59,"Legally married",3,"Yes"
80,5,60,7,8,6,4,3,3,3,3,5,4,6,6,6,6,6,"Yes",7,4,3,2,"No",3,3,2,6,6,"No",3,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",2,4,5,5,5,3,3,7,13.2,13.2,1,169,66,"No",7,"Female",67,"Legally married",4,"Yes"
60,5,180,4,5,4,3,1,3,3,3,0,3,7,0,2,2,2,"Yes",8,4,3,2,"Yes",3,2,2,6,5,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,5,5,5,7,1,2,0,25.5,1,164,76,"No",5,"Female",47,"Legally married",5,"Yes"
15,5,60,7,8,5,2,2,2,2,2,5,5,4,5,5,4,2,"No",8,3,4,2,"Yes",3,4,1,5,5,"No",9,4,7,"No","Yes","No",2009,"Yes","No","No",7,3,9,5,5,0,2,5,175.1,186.6,3,177,90,"No",8,"Male",36,"Legally married",6,"No"
30,5,240,6,6,7,2,3,1,2,1,5,8,8,6,4,4,5,"Not eligible to vote",7,7,4,4,"No",2,4,1,6,8,"No",5,2,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",10,4,7,5,6,3,2,4,0,39.6,3,162,48,"No",8,"Female",17,NA,3,"Yes"
15,5,75,10,5,10,2,1,2,1,2,10,8,10,9,8,7,6,"No",9,5,3,4,"Yes",3,5,1,10,9,"Yes",10,2,7,"No","No","No",2011,"Yes","No","No",8,3,5,7,6,1,4,5,19.6,19.6,1,173,80,"No",2,"Male",33,"Legally married",6,"Yes"
60,5,300,7,7,6,2,1,1,1,1,4,4,6,4,4,4,5,"Yes",8,3,2,1,"No",2,4,1,7,7,"No",7,2,5,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,3,7,6,6,0,3,7,27.6,99.6,3,178,94,"No",8,"Male",77,NA,5,"Yes"
150,5,480,7,8,3,3,4,4,4,4,6,8,8,6,6,NA,6,"Yes",9,6,4,3,"Yes",4,3,2,0,0,"No",0,1,1,"No","Yes","Yes",NA,"No","Yes","Yes",10,3,8,5,5,3,2,6,0,26.4,2,190,90,"No",8,"Male",49,NA,3,"Yes"
